occ1d,year,stock_occ,exp_stock_tot,full_time_equiv,wage,implied_price
1,1984,3.58e+10,3.58e+10,1.07e+07,12.20393,1
1,1985,4.15e+10,4.01e+10,1.11e+07,12.70523,.9651953
1,1986,4.94e+10,4.39e+10,1.18e+07,12.81129,.8895959
1,1987,5.74e+10,4.65e+10,1.23e+07,12.85292,.8100542
1,1988,6.91e+10,4.68e+10,1.34e+07,12.68695,.6772863
1,1989,7.58e+10,4.60e+10,1.32e+07,12.83685,.6068623
1,1990,8.40e+10,4.83e+10,1.32e+07,12.94857,.5751678
1,1991,9.39e+10,5.47e+10,1.33e+07,12.64122,.5823268
1,1992,1.09e+11,5.69e+10,1.39e+07,12.51808,.5200976
1,1993,1.21e+11,5.65e+10,1.42e+07,12.66899,.4688901
1,1994,1.47e+11,6.51e+10,1.50e+07,13.21176,.4439058
1,1995,1.82e+11,7.78e+10,1.61e+07,13.87223,.4282926
1,1996,2.25e+11,8.17e+10,1.71e+07,14.18257,.3631922
1,1997,2.70e+11,9.85e+10,1.68e+07,14.28725,.3647008
1,1998,3.43e+11,1.11e+11,1.77e+07,15.42165,.3247526
1,1999,4.17e+11,1.08e+11,1.83e+07,14.56579,.2586491
1,2000,4.78e+11,1.17e+11,1.90e+07,16.09818,.2437488
1,2001,5.49e+11,1.26e+11,1.93e+07,16.61815,.229954
1,2002,5.15e+11,1.07e+11,1.76e+07,17.29109,.2083033
1,2003,5.53e+11,9.54e+10,1.73e+07,17.34568,.1725554
1,2004,6.05e+11,8.97e+10,1.74e+07,17.08668,.148241
1,2005,6.89e+11,9.67e+10,1.83e+07,18.34459,.1403109
1,2006,7.77e+11,9.87e+10,1.87e+07,17.54079,.1270301
1,2007,8.53e+11,1.05e+11,1.89e+07,17.1535,.1230424
1,2008,9.48e+11,9.80e+10,1.90e+07,18.4851,.1033807
1,2009,1.05e+12,1.16e+11,1.80e+07,18.1447,.1111332
1,2010,1.14e+12,1.04e+11,1.82e+07,17.07707,.091693
1,2011,1.28e+12,1.19e+11,1.87e+07,17.86564,.0931027
1,2012,1.44e+12,1.27e+11,1.94e+07,17.29456,.0878626
1,2013,1.56e+12,1.35e+11,1.94e+07,18.08084,.0859691
1,2014,1.72e+12,1.34e+11,2.00e+07,17.49346,.0781522
1,2015,1.93e+12,1.38e+11,2.11e+07,18.57003,.0715647
2,1984,2.43e+10,2.43e+10,1.02e+07,12.70381,1
2,1985,2.78e+10,2.75e+10,1.04e+07,13.03189,.9884917
2,1986,3.36e+10,3.12e+10,1.11e+07,13.02792,.9283542
2,1987,3.86e+10,3.20e+10,1.15e+07,12.731,.8291101
2,1988,4.35e+10,3.38e+10,1.19e+07,12.78193,.7759033
2,1989,4.83e+10,3.66e+10,1.17e+07,12.7035,.7587401
2,1990,5.38e+10,3.74e+10,1.17e+07,13.09019,.6947934
2,1991,5.95e+10,4.23e+10,1.18e+07,13.33812,.7107778
2,1992,7.00e+10,4.38e+10,1.28e+07,13.71248,.6247137
2,1993,7.66e+10,4.44e+10,1.32e+07,13.77503,.579208
2,1994,9.03e+10,5.37e+10,1.39e+07,13.53076,.594375
2,1995,1.02e+11,5.71e+10,1.44e+07,15.37622,.5574288
2,1996,1.20e+11,5.74e+10,1.47e+07,14.64116,.4766204
2,1997,1.49e+11,7.19e+10,1.54e+07,15.77004,.4821104
2,1998,1.84e+11,8.79e+10,1.61e+07,16.35373,.4779466
2,1999,2.13e+11,8.99e+10,1.62e+07,16.06049,.422014
2,2000,2.48e+11,9.48e+10,1.70e+07,17.27891,.382244
2,2001,2.80e+11,1.00e+11,1.71e+07,17.15762,.3576858
2,2002,3.30e+11,1.12e+11,1.74e+07,17.83228,.3383408
2,2003,3.73e+11,1.09e+11,1.78e+07,17.74462,.2921051
2,2004,4.08e+11,1.04e+11,1.77e+07,18.50509,.2552262
2,2005,4.63e+11,1.15e+11,1.83e+07,17.70104,.248208
2,2006,5.28e+11,1.19e+11,1.95e+07,18.10965,.2253057
2,2007,6.04e+11,1.36e+11,1.98e+07,16.99145,.2249789
2,2008,6.56e+11,1.22e+11,1.95e+07,18.31696,.1858104
2,2009,7.48e+11,1.50e+11,1.96e+07,19.54321,.200799
2,2010,8.18e+11,1.50e+11,2.01e+07,18.45534,.1827987
2,2011,8.90e+11,1.67e+11,2.00e+07,19.85688,.1877485
2,2012,9.82e+11,1.65e+11,2.04e+07,18.46877,.1682274
2,2013,1.06e+12,1.80e+11,2.08e+07,18.49691,.1699773
2,2014,1.19e+12,1.88e+11,2.16e+07,17.56942,.1581755
2,2015,1.35e+12,1.99e+11,2.26e+07,18.34433,.1477009
3,1984,1.81e+10,1.81e+10,2638101,11.14046,1
3,1985,2.15e+10,2.01e+10,2719325,10.51123,.9326391
3,1986,2.24e+10,2.11e+10,2626370,11.17029,.9433118
3,1987,2.59e+10,2.15e+10,2865944,10.88438,.8295299
3,1988,2.79e+10,2.01e+10,2989128,10.95844,.7183132
3,1989,3.30e+10,2.20e+10,3226866,11.0142,.6667054
3,1990,3.42e+10,2.10e+10,3108657,10.86837,.6144066
3,1991,3.80e+10,2.47e+10,3426864,10.38573,.6512431
3,1992,4.15e+10,2.48e+10,3238911,10.93719,.5981154
3,1993,4.31e+10,2.32e+10,3192970,11.84494,.5371588
3,1994,4.58e+10,2.43e+10,3171415,11.42156,.53115
3,1995,4.74e+10,2.43e+10,3168007,11.65281,.5123014
3,1996,5.56e+10,2.59e+10,3386509,12.87213,.4662873
3,1997,6.63e+10,3.06e+10,3489546,12.22152,.4616212
3,1998,7.71e+10,3.50e+10,3527909,12.34006,.454046
3,1999,9.39e+10,3.78e+10,3806565,12.52215,.4022583
3,2000,9.90e+10,3.53e+10,3892744,13.41816,.3565091
3,2001,1.02e+11,3.69e+10,3735608,13.73305,.3625237
3,2002,9.51e+10,3.09e+10,3497913,14.79943,.3252285
3,2003,1.05e+11,3.04e+10,3582363,13.90918,.2891521
3,2004,1.21e+11,3.14e+10,3770547,14.34605,.2599128
3,2005,1.25e+11,3.26e+10,3715969,13.2123,.2600632
3,2006,1.32e+11,3.28e+10,3674551,13.75081,.2486844
3,2007,1.48e+11,3.46e+10,3831847,13.39888,.2346042
3,2008,1.61e+11,3.33e+10,3866426,13.6565,.2064449
3,2009,1.72e+11,3.90e+10,3797482,14.15628,.2263164
3,2010,1.85e+11,3.86e+10,3793169,14.24988,.208451
3,2011,1.96e+11,3.98e+10,3807652,14.19559,.2030695
3,2012,2.05e+11,3.89e+10,3871458,13.37389,.1897846
3,2013,2.33e+11,4.28e+10,3956249,13.75546,.183469
3,2014,2.38e+11,4.18e+10,4015511,14.25433,.1751941
3,2015,2.45e+11,4.27e+10,3988323,14.11151,.1740469
4,1984,6.19e+09,6.19e+09,7324030,10.07849,1
4,1985,8.20e+09,8.00e+09,7847930,10.51297,.9749404
4,1986,1.01e+10,8.91e+09,8009639,10.59362,.8786768
4,1987,1.20e+10,9.23e+09,8381169,11.11398,.7707389
4,1988,1.40e+10,1.00e+10,8482071,10.60605,.7134145
4,1989,1.71e+10,1.11e+10,8980329,10.26192,.6465193
4,1990,1.87e+10,1.07e+10,8768908,10.05971,.5739169
4,1991,2.08e+10,1.14e+10,8675143,10.14202,.5455889
4,1992,2.51e+10,1.16e+10,8903523,12.61182,.4618146
4,1993,2.92e+10,1.26e+10,9277504,10.68679,.4296202
4,1994,3.73e+10,1.54e+10,9794089,9.718129,.4125808
4,1995,4.70e+10,1.84e+10,1.03e+07,10.98103,.3909624
4,1996,5.79e+10,1.81e+10,1.03e+07,10.65397,.3127978
4,1997,7.66e+10,2.33e+10,1.04e+07,11.62618,.3043188
4,1998,9.88e+10,2.60e+10,1.07e+07,11.47988,.2629294
4,1999,1.23e+11,2.57e+10,1.10e+07,12.38071,.2089851
4,2000,1.41e+11,2.82e+10,1.12e+07,13.33461,.1997173
4,2001,1.56e+11,2.73e+10,1.09e+07,14.92873,.1750479
4,2002,1.73e+11,2.85e+10,1.08e+07,14.4497,.1646485
4,2003,2.01e+11,2.72e+10,1.09e+07,13.48993,.1351469
4,2004,2.25e+11,2.61e+10,1.10e+07,14.24779,.1158028
4,2005,2.60e+11,2.83e+10,1.13e+07,14.29735,.1086681
4,2006,2.92e+11,2.79e+10,1.14e+07,14.50339,.0953887
4,2007,3.17e+11,3.01e+10,1.12e+07,13.51034,.0949035
4,2008,3.36e+11,2.61e+10,1.06e+07,14.59644,.077561
4,2009,3.58e+11,2.81e+10,9921100,15.46031,.0784609
4,2010,3.83e+11,2.59e+10,9803802,13.99238,.0676378
4,2011,4.12e+11,2.95e+10,9773696,15.46995,.0715304
4,2012,4.39e+11,2.82e+10,9743730,14.25001,.0642558
4,2013,5.23e+11,3.43e+10,1.06e+07,13.52143,.0655584
4,2014,5.59e+11,3.26e+10,1.04e+07,14.58296,.0582926
4,2015,5.72e+11,2.90e+10,1.01e+07,14.11011,.0507667
5,1984,3.19e+10,3.19e+10,1.17e+07,7.940547,1
5,1985,3.94e+10,3.93e+10,1.21e+07,8.197383,.9976391
5,1986,4.80e+10,4.32e+10,1.22e+07,7.99612,.9010384
5,1987,5.36e+10,4.22e+10,1.24e+07,8.215809,.7874565
5,1988,5.99e+10,4.34e+10,1.23e+07,7.932098,.7237148
5,1989,6.96e+10,4.60e+10,1.29e+07,8.165008,.6611723
5,1990,7.94e+10,4.66e+10,1.29e+07,8.084553,.5864354
5,1991,9.62e+10,5.46e+10,1.36e+07,8.106608,.5679857
5,1992,1.00e+11,4.70e+10,1.28e+07,8.150843,.4686149
5,1993,1.12e+11,4.95e+10,1.27e+07,8.122533,.4415646
5,1994,1.16e+11,4.92e+10,1.25e+07,8.089772,.4227253
5,1995,1.40e+11,5.67e+10,1.29e+07,8.167464,.4041963
5,1996,1.66e+11,5.39e+10,1.27e+07,8.435078,.3236029
5,1997,2.11e+11,6.68e+10,1.32e+07,8.539566,.3170797
5,1998,2.60e+11,7.18e+10,1.31e+07,8.744333,.2767741
5,1999,3.08e+11,6.78e+10,1.33e+07,8.68337,.2202483
5,2000,3.51e+11,7.40e+10,1.35e+07,8.743255,.2104979
5,2001,3.73e+11,6.92e+10,1.31e+07,9.352953,.1854198
5,2002,4.84e+11,8.47e+10,1.50e+07,9.526402,.1749597
5,2003,5.27e+11,7.41e+10,1.50e+07,9.736129,.140674
5,2004,5.64e+11,6.62e+10,1.47e+07,9.483105,.1173073
5,2005,6.13e+11,6.93e+10,1.48e+07,9.322021,.112987
5,2006,6.64e+11,6.59e+10,1.53e+07,9.504184,.0991755
5,2007,7.24e+11,7.21e+10,1.54e+07,9.673128,.0996656
5,2008,7.25e+11,5.79e+10,1.44e+07,9.810335,.0797632
5,2009,7.88e+11,6.65e+10,1.39e+07,9.95885,.084332
5,2010,8.08e+11,5.60e+10,1.36e+07,10.10568,.0692134
5,2011,8.46e+11,6.34e+10,1.36e+07,9.78266,.0749663
5,2012,8.79e+11,5.93e+10,1.38e+07,10.10077,.0674212
5,2013,9.15e+11,6.33e+10,1.38e+07,9.937334,.0691501
5,2014,9.59e+11,5.81e+10,1.39e+07,9.930915,.0606021
5,2015,9.85e+11,5.18e+10,1.37e+07,10.98548,.0526265
6,1984,2.63e+10,2.63e+10,6776034,7.164623,1
6,1985,2.79e+10,2.55e+10,7147585,7.216866,.9138157
6,1986,3.04e+10,2.78e+10,7353972,7.571403,.9155459
6,1987,3.24e+10,2.75e+10,7430143,7.237031,.8478938
6,1988,3.52e+10,2.79e+10,7898186,7.598871,.7906895
6,1989,3.91e+10,3.02e+10,8234376,7.245613,.7715631
6,1990,4.08e+10,2.98e+10,8221346,7.141761,.7301573
6,1991,4.32e+10,3.15e+10,8383953,7.527354,.7291096
6,1992,4.81e+10,3.21e+10,8835142,7.387489,.6670437
6,1993,5.05e+10,3.17e+10,8877833,8.003982,.6285822
6,1994,5.40e+10,3.41e+10,9180888,7.676715,.632008
6,1995,5.85e+10,3.52e+10,9500872,7.5901,.6012798
6,1996,6.57e+10,3.59e+10,9669793,7.83075,.5463099
6,1997,7.54e+10,4.18e+10,9968020,8.075881,.5547561
6,1998,8.81e+10,4.82e+10,1.05e+07,7.844135,.5471243
6,1999,1.00e+11,5.03e+10,1.09e+07,8.347061,.5003338
6,2000,1.12e+11,5.14e+10,1.13e+07,8.471848,.4604726
6,2001,1.20e+11,5.18e+10,1.13e+07,8.698465,.430565
6,2002,1.47e+11,6.08e+10,1.24e+07,9.608702,.4125753
6,2003,1.62e+11,5.86e+10,1.22e+07,8.924845,.3628857
6,2004,1.73e+11,5.68e+10,1.27e+07,8.600168,.3285072
6,2005,1.95e+11,6.32e+10,1.35e+07,8.897921,.3241945
6,2006,2.09e+11,6.25e+10,1.36e+07,9.079069,.2989657
6,2007,2.27e+11,6.86e+10,1.40e+07,9.130616,.3017404
6,2008,2.30e+11,5.59e+10,1.35e+07,8.995132,.2432016
6,2009,2.59e+11,7.59e+10,1.32e+07,9.166026,.2933372
6,2010,2.65e+11,6.67e+10,1.30e+07,8.995078,.2514399
6,2011,2.90e+11,7.21e+10,1.38e+07,8.929372,.2484974
6,2012,3.08e+11,7.42e+10,1.37e+07,9.03656,.2409012
6,2013,3.22e+11,7.48e+10,1.38e+07,9.604704,.232622
6,2014,3.26e+11,6.93e+10,1.38e+07,9.328424,.2125999
6,2015,3.48e+11,7.27e+10,1.44e+07,9.56073,.2088119
7,1984,1.83e+10,1.83e+10,721001.1,5.685749,1
7,1985,1.75e+10,1.27e+10,756821.2,6.653489,.7285541
7,1986,1.66e+10,1.32e+10,810067.9,5.556656,.7959269
7,1987,1.69e+10,1.33e+10,785476,5.968781,.786402
7,1988,1.77e+10,1.39e+10,832505.9,6.059629,.7880505
7,1989,1.79e+10,1.34e+10,874801.5,5.602804,.7493291
7,1990,1.92e+10,1.38e+10,919463.1,5.513598,.7184761
7,1991,1.78e+10,1.29e+10,806926.8,5.562778,.720508
7,1992,2.01e+10,1.49e+10,854265.4,6.530313,.739504
7,1993,1.89e+10,1.25e+10,821914.5,7.143514,.6624002
7,1994,2.20e+10,1.53e+10,949671.5,6.209813,.6976122
7,1995,2.82e+10,1.85e+10,1296115,6.091977,.6551768
7,1996,2.73e+10,1.74e+10,1136153,8.045206,.6388046
7,1997,2.48e+10,1.59e+10,884472.9,6.944637,.6417253
7,1998,2.34e+10,1.46e+10,826719.8,7.137298,.6230103
7,1999,2.65e+10,1.73e+10,862304.9,8.333417,.654481
7,2000,2.92e+10,1.82e+10,998045.8,7.091171,.6241995
7,2001,2.83e+10,1.58e+10,897040.1,7.625258,.5566824
7,2002,3.32e+10,1.82e+10,935723,8.126778,.548225
7,2003,3.19e+10,1.62e+10,843211.3,7.506402,.5093393
7,2004,3.56e+10,1.85e+10,921013.4,9.236777,.520557
7,2005,3.60e+10,1.82e+10,909705.3,7.682836,.506183
7,2006,3.82e+10,1.87e+10,945043.3,8.499387,.4891463
7,2007,4.08e+10,2.02e+10,961313.9,8.559498,.4947929
7,2008,4.04e+10,1.41e+10,994583.5,8.158266,.3489681
7,2009,3.98e+10,2.23e+10,881470.7,7.935588,.5598572
7,2010,4.62e+10,2.07e+10,965557.7,7.662832,.4480839
7,2011,4.69e+10,1.85e+10,964058.3,9.140024,.3941783
7,2012,4.47e+10,1.92e+10,828117.1,7.768651,.4303339
7,2013,5.31e+10,2.17e+10,987053.7,8.189009,.4081795
7,2014,6.53e+10,2.51e+10,1186935,8.747675,.3833952
7,2015,6.73e+10,2.65e+10,1250781,9.228926,.3940282
8,1984,1.45e+11,1.45e+11,1.17e+07,9.728466,1
8,1985,1.49e+11,1.11e+11,1.22e+07,9.904625,.7443405
8,1986,1.57e+11,1.30e+11,1.26e+07,10.17631,.8279066
8,1987,1.63e+11,1.32e+11,1.31e+07,9.740326,.8119382
8,1988,1.66e+11,1.31e+11,1.35e+07,9.770879,.7887387
8,1989,1.68e+11,1.22e+11,1.34e+07,9.576578,.7238052
8,1990,1.70e+11,1.14e+11,1.33e+07,9.884431,.6676924
8,1991,1.72e+11,1.22e+11,1.25e+07,9.559652,.7073575
8,1992,1.78e+11,1.29e+11,1.24e+07,9.753015,.7251753
8,1993,1.95e+11,1.23e+11,1.33e+07,9.668288,.627947
8,1994,2.11e+11,1.33e+11,1.39e+07,9.473134,.6329382
8,1995,2.26e+11,1.37e+11,1.46e+07,9.723732,.6067322
8,1996,2.44e+11,1.43e+11,1.49e+07,9.87871,.5870587
8,1997,2.67e+11,1.57e+11,1.51e+07,10.12089,.5896587
8,1998,2.98e+11,1.69e+11,1.62e+07,10.04919,.5679691
8,1999,3.26e+11,1.86e+11,1.64e+07,10.14923,.5728352
8,2000,3.44e+11,1.83e+11,1.73e+07,10.40407,.5337464
8,2001,3.54e+11,1.67e+11,1.70e+07,10.84711,.4715517
8,2002,3.50e+11,1.65e+11,1.58e+07,10.50487,.4719746
8,2003,3.67e+11,1.55e+11,1.59e+07,10.77359,.4232868
8,2004,3.97e+11,1.64e+11,1.70e+07,10.39764,.4135029
8,2005,4.23e+11,1.68e+11,1.72e+07,10.47193,.3972049
8,2006,4.39e+11,1.61e+11,1.75e+07,10.33978,.3658204
8,2007,4.51e+11,1.70e+11,1.74e+07,10.31401,.3760147
8,2008,4.10e+11,1.06e+11,1.60e+07,10.90425,.2584204
8,2009,4.10e+11,1.72e+11,1.38e+07,11.52996,.4205369
8,2010,4.16e+11,1.37e+11,1.34e+07,10.67418,.3301271
8,2011,4.40e+11,1.30e+11,1.40e+07,11.58459,.2943027
8,2012,4.79e+11,1.52e+11,1.46e+07,10.58891,.3184502
8,2013,5.12e+11,1.53e+11,1.50e+07,10.73042,.2988591
8,2014,5.43e+11,1.50e+11,1.60e+07,10.58947,.2757308
8,2015,5.54e+11,1.55e+11,1.62e+07,11.32485,.2792153
9,1984,4.97e+08,4.97e+08,103778.9,11.45677,1
9,1985,5.00e+08,3.87e+08,108262.7,10.33672,.7739751
9,1986,3.96e+08,3.42e+08,76428.76,12.29099,.862209
9,1987,3.60e+08,2.85e+08,80967.44,11.05039,.7905132
9,1988,2.93e+08,2.39e+08,68491.15,12.04891,.8146255
9,1989,4.41e+08,3.26e+08,97291.58,11.03521,.7397883
9,1990,3.66e+08,2.47e+08,81948.07,11.77413,.6764392
9,1991,3.65e+08,2.61e+08,82392.36,10.07423,.7133588
9,1992,3.67e+08,2.80e+08,77968.55,9.585837,.7623563
9,1993,3.42e+08,2.19e+08,69960.18,10.14803,.6403049
9,1994,3.19e+08,2.06e+08,63486.87,10.57077,.6466546
9,1995,4.57e+08,2.78e+08,95963.91,10.77458,.6078811
9,1996,5.23e+08,3.10e+08,99547.99,11.04013,.5927451
9,1997,5.32e+08,3.17e+08,92322.37,10.98672,.5963076
9,1998,6.85e+08,4.00e+08,110001,10.34061,.5841155
9,1999,5.39e+08,3.15e+08,81757.7,9.624113,.5835496
9,2000,6.51e+08,3.43e+08,91534.56,11.65122,.527181
9,2001,6.31e+08,3.05e+08,82707.95,12.04759,.4828003
9,2002,7.53e+08,3.87e+08,85000.29,10.73588,.5133888
9,2003,9.27e+08,4.18e+08,98049.91,8.690435,.4508641
9,2004,1.28e+09,5.18e+08,139831.9,10.62007,.405892
9,2005,1.60e+09,6.21e+08,154543,10.1083,.389011
9,2006,2.02e+09,7.69e+08,181536.6,12.71148,.3805385
9,2007,1.85e+09,6.94e+08,141718.3,11.71695,.3743577
9,2008,2.84e+09,9.68e+08,208559.5,11.86155,.3412826
9,2009,2.07e+09,8.19e+08,118910.5,15.9328,.3953777
9,2010,4.52e+09,1.83e+09,230778.3,12.40025,.4048474
9,2011,4.29e+09,1.42e+09,180377.3,15.53805,.3306535
9,2012,5.43e+09,1.95e+09,228130.9,14.1041,.358803
9,2013,6.55e+09,2.25e+09,241379.7,10.77332,.343749
9,2014,5.75e+09,1.94e+09,223303.6,15.21882,.3366643
9,2015,3.90e+09,1.32e+09,147638.5,12.57493,.3368511
10,1984,2.44e+10,2.44e+10,3132825,9.391649,1
10,1985,2.49e+10,1.79e+10,3124128,9.879345,.7174026
10,1986,2.42e+10,1.59e+10,2978095,9.930164,.6583791
10,1987,2.47e+10,1.75e+10,3083907,9.413536,.7098038
10,1988,2.91e+10,2.18e+10,3232073,9.460272,.7478482
10,1989,3.03e+10,2.02e+10,3203113,8.898149,.6690817
10,1990,2.75e+10,1.60e+10,2966760,8.590672,.5805494
10,1991,2.98e+10,1.74e+10,2879172,9.052141,.5840279
10,1992,3.09e+10,1.82e+10,2888963,9.352859,.5885843
10,1993,3.28e+10,1.87e+10,3056308,9.401735,.5702205
10,1994,3.40e+10,1.70e+10,3064388,9.798542,.4992703
10,1995,3.58e+10,1.85e+10,3013795,9.235938,.5172801
10,1996,4.01e+10,1.97e+10,3170897,10.01344,.4907702
10,1997,4.62e+10,2.20e+10,3173128,9.915924,.4757123
10,1998,4.61e+10,2.12e+10,2989712,9.806391,.4583566
10,1999,4.67e+10,2.09e+10,2983007,9.802592,.4482776
10,2000,5.06e+10,2.05e+10,3024934,10.24881,.4063868
10,2001,5.27e+10,1.98e+10,2913026,10.75565,.3768525
10,2002,6.67e+10,2.36e+10,3023366,10.69003,.353678
10,2003,6.63e+10,2.24e+10,2956425,10.38675,.3377495
10,2004,6.88e+10,2.17e+10,2918409,10.52027,.3155806
10,2005,6.87e+10,2.13e+10,2906163,9.77298,.3101082
10,2006,7.12e+10,2.09e+10,3033713,10.65524,.2941377
10,2007,6.75e+10,1.88e+10,2864377,10.22589,.2792462
10,2008,6.05e+10,1.45e+10,2533323,10.94252,.2401098
10,2009,6.01e+10,1.63e+10,2300478,11.18979,.2719365
10,2010,7.38e+10,1.91e+10,2717316,10.01528,.2592835
10,2011,7.16e+10,1.90e+10,2677889,10.09448,.2661165
10,2012,6.58e+10,1.61e+10,2450129,11.5678,.2441469
10,2013,7.29e+10,1.77e+10,2670973,10.37355,.2429956
10,2014,6.25e+10,1.39e+10,2488365,10.14196,.2219432
10,2015,6.40e+10,1.48e+10,2534857,11.36671,.2317236
11,1984,1.62e+10,1.62e+10,6089637,8.445163,1
11,1985,1.73e+10,1.33e+10,6043821,8.749136,.7684142
11,1986,1.89e+10,1.48e+10,6072302,8.304581,.7840738
11,1987,2.13e+10,1.65e+10,6524215,8.388204,.7727891
11,1988,2.35e+10,1.84e+10,6655909,8.054579,.7814206
11,1989,2.53e+10,1.75e+10,6430033,8.222259,.6920283
11,1990,2.71e+10,1.71e+10,6435488,8.249137,.6323647
11,1991,2.81e+10,1.82e+10,5970728,7.777937,.6491256
11,1992,3.10e+10,2.00e+10,5881155,8.129367,.645889
11,1993,3.37e+10,1.96e+10,6177829,8.079475,.5818585
11,1994,3.97e+10,2.19e+10,6563566,8.20422,.5522195
11,1995,4.35e+10,2.38e+10,6705744,9.7189,.5474693
11,1996,4.84e+10,2.53e+10,6807161,8.267656,.5232398
11,1997,5.31e+10,2.69e+10,6713696,8.675664,.5064964
11,1998,5.75e+10,2.83e+10,6514722,8.683955,.4929341
11,1999,6.56e+10,3.15e+10,6676436,8.714835,.4797783
11,2000,6.96e+10,3.03e+10,6506557,8.878277,.4361931
11,2001,6.73e+10,2.72e+10,5796771,9.160439,.4037007
11,2002,6.59e+10,2.58e+10,5170294,9.014924,.3911417
11,2003,6.86e+10,2.44e+10,5022880,8.878239,.356093
11,2004,7.27e+10,2.41e+10,5120275,9.19709,.3319273
11,2005,7.75e+10,2.44e+10,5081565,8.605566,.3151584
11,2006,8.27e+10,2.41e+10,5152630,8.966942,.2917214
11,2007,8.61e+10,2.50e+10,5014415,8.858161,.2901723
11,2008,8.02e+10,1.87e+10,4373299,9.047168,.2334925
11,2009,7.87e+10,2.35e+10,3634040,9.328522,.2986837
11,2010,8.57e+10,2.26e+10,3889050,9.263337,.263623
11,2011,9.88e+10,2.50e+10,4164491,8.93202,.2534193
11,2012,1.07e+11,2.71e+10,4296686,9.077222,.2536441
11,2013,1.15e+11,2.81e+10,4412625,9.82869,.24371
11,2014,1.31e+11,2.95e+10,4704489,10.65007,.2262313
11,2015,1.40e+11,3.16e+10,4833798,9.450965,.2266132
